from,to,weight,color,arrow,tweets,title,hub,width
839338759330152453,22756947,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,5120691,67.0,blue,,,<p><br>提及的次數： 67</p>,1.0,2.861005552576305
839338759330152453,1014861853338398720,2.0,blue,,,<p><br>提及的次數： 2</p>,1.0,1.189207115002721
839338759330152453,36024756,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,2711212681,978.0,blue,,,<p><br>提及的次數： 978</p>,1.0,5.592225991698098
839338759330152453,16319797,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,16556796,2.0,blue,,,<p><br>提及的次數： 2</p>,1.0,1.189207115002721
839338759330152453,74286565,12.0,blue,,,<p><br>提及的次數： 12</p>,1.0,1.8612097182041991
839338759330152453,2975134426,17.0,blue,,,<p><br>提及的次數： 17</p>,1.0,2.0305431848689306
839338759330152453,8099262,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,10228272,10.0,blue,,,<p><br>提及的次數： 10</p>,1.0,1.7782794100389228
839338759330152453,257600962,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,4338452835,275.0,blue,,,<p><br>提及的次數： 275</p>,1.0,4.072238199292497
839338759330152453,20536157,3.0,blue,,,<p><br>提及的次數： 3</p>,1.0,1.3160740129524924
839338759330152453,18949452,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,17760882,2.0,blue,,,<p><br>提及的次數： 2</p>,1.0,1.189207115002721
839338759330152453,555031989,525.0,blue,,,<p><br>提及的次數： 525</p>,1.0,4.786739858690798
839338759330152453,34713362,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,3131243261,613.0,blue,,,<p><br>提及的次數： 613</p>,1.0,4.975825238719693
839338759330152453,2162697578,10.0,blue,,,<p><br>提及的次數： 10</p>,1.0,1.7782794100389228
839338759330152453,705539763349164032,538.0,blue,,,<p><br>提及的次數： 538</p>,1.0,4.816100809730461
839338759330152453,846014785246367745,17.0,blue,,,<p><br>提及的次數： 17</p>,1.0,2.0305431848689306
839338759330152453,534255106,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,151106990,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,612473,2.0,blue,,,<p><br>提及的次數： 2</p>,1.0,1.189207115002721
839338759330152453,3429955204,433.0,blue,,,<p><br>提及的次數： 433</p>,1.0,4.561650145143182
839338759330152453,11333892,1.0,blue,,,<p><br>提及的次數： 1</p>,1.0,1.0
839338759330152453,875122621,85.0,blue,,,<p><br>提及的次數： 85</p>,1.0,3.036370276710811
