Screen Name,value
rwang0,15
audreyt,6
GoAppier,2
CatherineShu,2
EngleTV,1
taef_tw,1
KavalanWhisky,1
ly2314,1
FULLonbaby,1
MingTang,1
syaru,1
jenmakesup,1
content_grinder,1
HsinHaoYu,1
changwu_tw,1
shuyanglin,1
paulmozur,1
JayArtPainting,1
moriono51,1
g0vtw,1
tculpan,1
BanGaoRen,1
kumaOhsiung,1
ijasonwu,1
OuzhouAdi,1
