from,to,weight,color,arrow,tweets,title,width
839338759330152453,22756947,3,blue,,,<p><br>提及的次數： 3</p>,1.3160740129524924
839338759330152453,5120691,156,blue,,,<p><br>提及的次數： 156</p>,3.5341188430493955
839338759330152453,1014861853338398720,4,blue,,,<p><br>提及的次數： 4</p>,1.4142135623730951
839338759330152453,36024756,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,1068292112,1,blue,,,<p><br>提及的次數： 1</p>,1.0
839338759330152453,2711212681,1922,blue,,,<p><br>提及的次數： 1922</p>,6.621224994936054
839338759330152453,16319797,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,16556796,5,blue,,,<p><br>提及的次數： 5</p>,1.4953487812212205
839338759330152453,17899109,1,blue,,,<p><br>提及的次數： 1</p>,1.0
839338759330152453,74286565,24,blue,,,<p><br>提及的次數： 24</p>,2.213363839400643
839338759330152453,5988062,4,blue,,,<p><br>提及的次數： 4</p>,1.4142135623730951
839338759330152453,2975134426,55,blue,,,<p><br>提及的次數： 55</p>,2.7232698153315003
839338759330152453,8099262,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,10228272,20,blue,,,<p><br>提及的次數： 20</p>,2.114742526881128
839338759330152453,257600962,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,4338452835,557,blue,,,<p><br>提及的次數： 557</p>,4.85807034144339
839338759330152453,20536157,13,blue,,,<p><br>提及的次數： 13</p>,1.8988289221159418
839338759330152453,18949452,6,blue,,,<p><br>提及的次數： 6</p>,1.5650845800732873
839338759330152453,17760882,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,555031989,943,blue,,,<p><br>提及的次數： 943</p>,5.541507472301032
839338759330152453,22363802,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,34713362,3,blue,,,<p><br>提及的次數： 3</p>,1.3160740129524924
839338759330152453,3131243261,1433,blue,,,<p><br>提及的次數： 1433</p>,6.152640608835803
839338759330152453,2162697578,27,blue,,,<p><br>提及的次數： 27</p>,2.2795070569547775
839338759330152453,705539763349164032,1083,blue,,,<p><br>提及的次數： 1083</p>,5.736633624679954
839338759330152453,846014785246367745,126,blue,,,<p><br>提及的次數： 126</p>,3.350368958834508
839338759330152453,534255106,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,151106990,3,blue,,,<p><br>提及的次數： 3</p>,1.3160740129524924
839338759330152453,612473,5,blue,,,<p><br>提及的次數： 5</p>,1.4953487812212205
839338759330152453,3429955204,865,blue,,,<p><br>提及的次數： 865</p>,5.423180094714308
839338759330152453,16887175,1,blue,,,<p><br>提及的次數： 1</p>,1.0
839338759330152453,11333892,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
839338759330152453,875122621,214,blue,,,<p><br>提及的次數： 214</p>,3.8247534349716967
705539763349164032,22756947,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
705539763349164032,5120691,50,blue,,,<p><br>提及的次數： 50</p>,2.6591479484724942
705539763349164032,1014861853338398720,11,blue,,,<p><br>提及的次數： 11</p>,1.8211602868378718
705539763349164032,15425377,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
705539763349164032,2711212681,1686,blue,,,<p><br>提及的次數： 1686</p>,6.407880330912525
705539763349164032,16319797,3,blue,,,<p><br>提及的次數： 3</p>,1.3160740129524924
705539763349164032,16556796,17,blue,,,<p><br>提及的次數： 17</p>,2.0305431848689306
705539763349164032,74286565,6,blue,,,<p><br>提及的次數： 6</p>,1.5650845800732873
705539763349164032,5988062,3,blue,,,<p><br>提及的次數： 3</p>,1.3160740129524924
705539763349164032,2975134426,46,blue,,,<p><br>提及的次數： 46</p>,2.604290687140218
705539763349164032,8099262,5,blue,,,<p><br>提及的次數： 5</p>,1.4953487812212205
705539763349164032,10228272,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
705539763349164032,2214285223,83,blue,,,<p><br>提及的次數： 83</p>,3.018349479292333
705539763349164032,4338452835,320,blue,,,<p><br>提及的次數： 320</p>,4.229485053762256
705539763349164032,17760882,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
705539763349164032,255166755,1,blue,,,<p><br>提及的次數： 1</p>,1.0
705539763349164032,45891623,8,blue,,,<p><br>提及的次數： 8</p>,1.681792830507429
705539763349164032,555031989,313,blue,,,<p><br>提及的次數： 313</p>,4.2061628609641515
705539763349164032,22363802,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
705539763349164032,3131243261,934,blue,,,<p><br>提及的次數： 934</p>,5.528237836767902
705539763349164032,2162697578,1,blue,,,<p><br>提及的次數： 1</p>,1.0
705539763349164032,839338759330152453,1083,blue,,,<p><br>提及的次數： 1083</p>,5.736633624679954
705539763349164032,24224194,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
705539763349164032,846014785246367745,1165,blue,,,<p><br>提及的次數： 1165</p>,5.842268081126715
705539763349164032,25390350,1,blue,,,<p><br>提及的次數： 1</p>,1.0
705539763349164032,534255106,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
705539763349164032,612473,5,blue,,,<p><br>提及的次數： 5</p>,1.4953487812212205
705539763349164032,3429955204,258,blue,,,<p><br>提及的次數： 258</p>,4.007789715567548
705539763349164032,191781601,1,blue,,,<p><br>提及的次數： 1</p>,1.0
705539763349164032,875122621,141,blue,,,<p><br>提及的次數： 141</p>,3.4459167266545947
3131243261,22756947,11,blue,,,<p><br>提及的次數： 11</p>,1.8211602868378718
3131243261,938851,3,blue,,,<p><br>提及的次數： 3</p>,1.3160740129524924
3131243261,5120691,75,blue,,,<p><br>提及的次數： 75</p>,2.942830956382712
3131243261,1014861853338398720,33,blue,,,<p><br>提及的次數： 33</p>,2.39678172692843
3131243261,3353197114,1,blue,,,<p><br>提及的次數： 1</p>,1.0
3131243261,21208792,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
3131243261,1060577549384851457,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
3131243261,720474368,15,blue,,,<p><br>提及的次數： 15</p>,1.9679896712654303
3131243261,2711212681,974,blue,,,<p><br>提及的次數： 974</p>,5.586499178255956
3131243261,16319797,11,blue,,,<p><br>提及的次數： 11</p>,1.8211602868378718
3131243261,16556796,5,blue,,,<p><br>提及的次數： 5</p>,1.4953487812212205
3131243261,74286565,15,blue,,,<p><br>提及的次數： 15</p>,1.9679896712654303
3131243261,21997214,1,blue,,,<p><br>提及的次數： 1</p>,1.0
3131243261,5988062,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
3131243261,2975134426,58,blue,,,<p><br>提及的次數： 58</p>,2.7596690210718946
3131243261,8099262,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
3131243261,10228272,6,blue,,,<p><br>提及的次數： 6</p>,1.5650845800732873
3131243261,2214285223,1,blue,,,<p><br>提及的次數： 1</p>,1.0
3131243261,257600962,5,blue,,,<p><br>提及的次數： 5</p>,1.4953487812212205
3131243261,4338452835,451,blue,,,<p><br>提及的次數： 451</p>,4.608335988357978
3131243261,20536157,4,blue,,,<p><br>提及的次數： 4</p>,1.4142135623730951
3131243261,3413228991,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
3131243261,18949452,1,blue,,,<p><br>提及的次數： 1</p>,1.0
3131243261,17760882,3,blue,,,<p><br>提及的次數： 3</p>,1.3160740129524924
3131243261,2869663966,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
3131243261,157981564,2,blue,,,<p><br>提及的次數： 2</p>,1.189207115002721
3131243261,555031989,235,blue,,,<p><br>提及的次數： 235</p>,3.915317320059243
3131243261,22363802,4,blue,,,<p><br>提及的次數： 4</p>,1.4142135623730951
3131243261,240615214,4,blue,,,<p><br>提及的次數： 4</p>,1.4142135623730951
3131243261,34713362,10,blue,,,<p><br>提及的次數： 10</p>,1.7782794100389228
3131243261,1685497208,1,blue,,,<p><br>提及的次數： 1</p>,1.0
3131243261,2162697578,12,blue,,,<p><br>提及的次數： 12</p>,1.8612097182041991
3131243261,3251759104,1,blue,,,<p><br>提及的次數： 1</p>,1.0
