from,to,weight,color,arrow,tweets,title,hub,width
329666643,193095342,1.0,blue,,,<p><br># of Mentions: 1</p>,4.0,1.0
329666643,2802004432,1.0,blue,,,<p><br># of Mentions: 1</p>,4.0,1.0
329666643,27860681,3.0,blue,,,<p><br># of Mentions: 3</p>,4.0,1.3160740129524924
329666643,21324951,1.0,blue,,,<p><br># of Mentions: 1</p>,4.0,1.0
329666643,1221552934917410818,1.0,blue,,,<p><br># of Mentions: 1</p>,4.0,1.0
329666643,321575853,2.0,blue,,,<p><br># of Mentions: 2</p>,4.0,1.189207115002721
329666643,82607949,1.0,blue,,,<p><br># of Mentions: 1</p>,4.0,1.0
329666643,1041925233744273408,2.0,blue,,,<p><br># of Mentions: 2</p>,4.0,1.189207115002721
329666643,140897183,7.0,blue,,,<p><br># of Mentions: 7</p>,4.0,1.6265765616977856
329666643,14260960,1.0,blue,,,<p><br># of Mentions: 1</p>,4.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,4.0,1.7320508075688772
932594367847682048,30811020,4.0,blue,,,<p><br># of Mentions: 4</p>,5.0,1.4142135623730951
932594367847682048,268402701,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
932594367847682048,183269426,9.0,blue,,,<p><br># of Mentions: 9</p>,5.0,1.7320508075688772
932594367847682048,362343279,3.0,blue,,,<p><br># of Mentions: 3</p>,5.0,1.3160740129524924
932594367847682048,2389227352,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
932594367847682048,2189742522,6.0,blue,,,<p><br># of Mentions: 6</p>,5.0,1.5650845800732869
932594367847682048,20596281,5.0,blue,,,<p><br># of Mentions: 5</p>,5.0,1.4953487812212205
932594367847682048,796008597268418560,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
932594367847682048,2278865772,3.0,blue,,,<p><br># of Mentions: 3</p>,5.0,1.3160740129524924
932594367847682048,193095342,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
932594367847682048,25531164,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
932594367847682048,27860681,13.0,blue,,,<p><br># of Mentions: 13</p>,5.0,1.8988289221159416
932594367847682048,103874436,21.0,blue,,,<p><br># of Mentions: 21</p>,5.0,2.1406951429280725
932594367847682048,321575853,9.0,blue,,,<p><br># of Mentions: 9</p>,5.0,1.7320508075688772
932594367847682048,14353202,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
932594367847682048,847506104,3.0,blue,,,<p><br># of Mentions: 3</p>,5.0,1.3160740129524924
932594367847682048,502251829,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
932594367847682048,373457468,4.0,blue,,,<p><br># of Mentions: 4</p>,5.0,1.4142135623730951
932594367847682048,3394193014,1.0,blue,,,<p><br># of Mentions: 1</p>,5.0,1.0
362343279,7403862,1.0,red,to,['1277599795247529985'],<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,5.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,5.0,1.7320508075688772
502251829,7403862,2.0,red,to,"['1382738793673981952', '1306970304623898624']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,5.0,1.189207115002721
18510558,197095948,6.0,blue,,,<p><br># of Mentions: 6</p>,6.0,1.5650845800732869
18510558,183269426,4.0,blue,,,<p><br># of Mentions: 4</p>,6.0,1.4142135623730951
18510558,748650781637758976,5.0,blue,,,<p><br># of Mentions: 5</p>,6.0,1.4953487812212205
18510558,242448965,9.0,blue,,,<p><br># of Mentions: 9</p>,6.0,1.7320508075688772
18510558,41389093,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
18510558,135197774,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
18510558,277858534,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
18510558,2493098023,13.0,blue,,,<p><br># of Mentions: 13</p>,6.0,1.8988289221159416
18510558,2657079979,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
18510558,104177077,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
18510558,142524254,2.0,blue,,,<p><br># of Mentions: 2</p>,6.0,1.189207115002721
18510558,18804414,5.0,blue,,,<p><br># of Mentions: 5</p>,6.0,1.4953487812212205
18510558,20433430,2.0,blue,,,<p><br># of Mentions: 2</p>,6.0,1.189207115002721
18510558,96735431,2.0,blue,,,<p><br># of Mentions: 2</p>,6.0,1.189207115002721
18510558,1101527644116582405,10.0,blue,,,<p><br># of Mentions: 10</p>,6.0,1.7782794100389228
18510558,193095342,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
18510558,2802004432,2.0,blue,,,<p><br># of Mentions: 2</p>,6.0,1.189207115002721
18510558,27860681,2.0,blue,,,<p><br># of Mentions: 2</p>,6.0,1.189207115002721
18510558,613496064,3.0,blue,,,<p><br># of Mentions: 3</p>,6.0,1.3160740129524924
18510558,36683668,2.0,blue,,,<p><br># of Mentions: 2</p>,6.0,1.189207115002721
18510558,321575853,3.0,blue,,,<p><br># of Mentions: 3</p>,6.0,1.3160740129524924
18510558,991724656821456896,3.0,blue,,,<p><br># of Mentions: 3</p>,6.0,1.3160740129524924
18510558,82607949,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
18510558,14260960,1.0,blue,,,<p><br># of Mentions: 1</p>,6.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,6.0,1.7320508075688772
2278865772,30811020,4.0,blue,,,<p><br># of Mentions: 4</p>,7.0,1.4142135623730951
2278865772,63127726,2.0,blue,,,<p><br># of Mentions: 2</p>,7.0,1.189207115002721
2278865772,246262362,2.0,blue,,,<p><br># of Mentions: 2</p>,7.0,1.189207115002721
2278865772,362343279,3.0,blue,,,<p><br># of Mentions: 3</p>,7.0,1.3160740129524924
2278865772,2189742522,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
2278865772,988518714,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
2278865772,317698531,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
2278865772,268349503,2.0,blue,,,<p><br># of Mentions: 2</p>,7.0,1.189207115002721
2278865772,2786900559,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
2278865772,932594367847682048,3.0,blue,,,<p><br># of Mentions: 3</p>,7.0,1.3160740129524924
2278865772,15521401,2.0,blue,,,<p><br># of Mentions: 2</p>,7.0,1.189207115002721
2278865772,157981564,2.0,blue,,,<p><br># of Mentions: 2</p>,7.0,1.189207115002721
2278865772,1254401304,1.0,blue,,,<p><br># of Mentions: 1</p>,7.0,1.0
2278865772,3374431174,2.0,blue,,,<p><br># of Mentions: 2</p>,7.0,1.189207115002721
