from,to,group,arrows,smooth
216335805,4155531,South America Issue,to,1
18009461,7403862,South America Issue,to,1
18009461,13500732,South America Issue,to,1
2152311564,64752881,South America Issue,to,1
2871402869,44824178,South America Issue,to,1
2871402869,13500732,South America Issue,to,1
2871402869,1443780630,South America Issue,to,1
863603622,158680425,South America Issue,to,1
863603622,1443780630,South America Issue,to,1
863603622,13500732,South America Issue,to,1
242163443,7403862,South America Issue,to,1
24205556,13500732,South America Issue,to,1
377617073,14249162,South America Issue,to,1
327658937,64752881,South America Issue,to,1
17441030,7403862,South America Issue,to,1
2495795942,38379127,World Bank,to,1
91292166,27284203,World Bank,to,1
295032345,27284203,World Bank,to,1
47817339,1410398054,World Bank,to,1
47817339,14831475,World Bank,to,1
3039999798,169767749,World Bank,to,1
118105610,543362212,World Bank,to,1
25108596,594546416,World Bank,to,1
86512187,1410398054,World Bank,to,1
414682647,976995099170062338,World Bank,to,1
414682647,155814794,World Bank,to,1
414682647,468773593,World Bank,to,1
135187648,117108955,World Bank,to,1
399266384,36943828,World Bank,to,1
399266384,2903497681,World Bank,to,1
764204669723967488,155814794,World Bank,to,1
54986063,65235102,World Bank,to,1
54986063,56789832,World Bank,to,1
54986063,240880754,World Bank,to,1
54986063,802543616,World Bank,to,1
54986063,111019435,World Bank,to,1
54986063,76347918,World Bank,to,1
54986063,343187768,World Bank,to,1
54986063,439887212,World Bank,to,1
54986063,14831475,World Bank,to,1
54986063,14540457,World Bank,to,1
54986063,197326414,World Bank,to,1
54986063,60514666,World Bank,to,1
68911475,488168567,World Bank,to,1
68911475,14831475,World Bank,to,1
68911475,14540457,World Bank,to,1
69231187,23574948,World Bank,to,1
146227634,737699722677391360,World Bank,to,1
17523060,14831475,World Bank,to,1
191849753,2903497681,World Bank,to,1
529048394,14831475,World Bank,to,1
38224970,2238051828,World Bank,to,1
275132657,27284203,World Bank,to,1
116063765,15046379,France Issue,to,1
197134898,15046379,France Issue,to,1
197134898,759339,France Issue,to,1
197134898,1337150378,France Issue,to,1
197134898,3405598630,France Issue,to,1
197134898,212755592,France Issue,to,1
197134898,130033910,France Issue,to,1
197134898,958169280075374593,France Issue,to,1
197134898,4155531,France Issue,to,1
197134898,77004828,France Issue,to,1
197134898,3356103970,France Issue,to,1
197134898,907068831125794816,France Issue,to,1
197134898,612254136,France Issue,to,1
197134898,799101616846606336,France Issue,to,1
197134898,7403862,France Issue,to,1
29701712,976995099170062338,France Issue,to,1
15207835,7403862,France Issue,to,1
22950296,7403862,France Issue,to,1
42113624,7403862,France Issue,to,1
256599335,7403862,France Issue,to,1
131211166,15046379,France Issue,to,1
711600634819170304,121371581,France Issue,to,1
711600634819170304,83738583,France Issue,to,1
711600634819170304,42577820,France Issue,to,1
711600634819170304,7403862,France Issue,to,1
192986664,1261105491662397440,France Issue,to,1
192986664,155814794,France Issue,to,1
192986664,883578527240511489,France Issue,to,1
192986664,17556049,France Issue,to,1
192986664,3405598630,France Issue,to,1
192986664,784252669695135744,France Issue,to,1
192986664,2452767864,France Issue,to,1
192986664,15046379,France Issue,to,1
