,id,desc,sn,label,image,shape,font.size,title,font.color,group,value,hub
68,21324951,God-fearing  |  Open  |  Author  |  Tech Leader  |  Digital Revolutionist  |  Data Lover  |    Chief Web Advocate  - WWW Foundation |  Tweets are mine,nnenna,nnenna,https://pbs.twimg.com/profile_images/1235281297137950720/DPDmtEov_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/nnenna>nnenna</a><br>Bio: God-fearing  |  Open  |  Author  |  Tech Leader  |  Digital Revolutionist  |  Data Lover  |    Chief Web Advocate  - WWW Foundation |  Tweets are mine</p>,blue,,1.0,4.0
69,2802004432,Secretary-General of the #OECD working around the clock and around the globe to promote Better Policies for Better Lives. @OECD,A_Gurria,A_Gurria,https://pbs.twimg.com/profile_images/1342123257999319040/5heRSdwJ_normal.jpg,circle,30.0,<p><l>Username: <a href=https://twitter.com/A_Gurria>A_Gurria</a><br>Bio: Secretary-General of the #OECD working around the clock and around the globe to promote Better Policies for Better Lives. @OECD</p>,blue,,1.0,4.0
70,96735431,The African Development Bank Group works to reduce poverty and improve living conditions on the continent. RTs ≠ endorsements.,AfDB_Group,AfDB_Group,https://pbs.twimg.com/profile_images/1315989039342923778/5cJ-fhvP_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/AfDB_Group>AfDB_Group</a><br>Bio: The African Development Bank Group works to reduce poverty and improve living conditions on the continent. RTs ≠ endorsements.</p>,blue,,1.0,4.0
71,842723117525094400,"Official Twitter Account for Nigeria's Ministry of Finance, Budget and National Planning. (Personal Tweets by Ministers: @ZShamsuna & @clemagba)",FinMinNigeria,FinMinNigeria,https://pbs.twimg.com/profile_images/844086597263998976/L4gokBxp_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/FinMinNigeria>FinMinNigeria</a><br>Bio: Official Twitter Account for Nigeria's Ministry of Finance, Budget and National Planning. (Personal Tweets by Ministers: @ZShamsuna & @clemagba)</p>",blue,,1.0,4.0
72,204698478,"#BuildTheFuture: Infrastructure, procurement and project management services for a sustainable world. ES: @UNOPS_es  | FR: @UNOPS_fr",UNOPS,UNOPS,https://pbs.twimg.com/profile_images/1337323900720570370/4QeTLKkl_normal.jpg,circle,30.0,"<p><l>Username: <a href=https://twitter.com/UNOPS>UNOPS</a><br>Bio: #BuildTheFuture: Infrastructure, procurement and project management services for a sustainable world. ES: @UNOPS_es  | FR: @UNOPS_fr</p>",blue,World Bank,1.0,4.0
73,193095342,Comprometida con la igualdad. Actualmente Secretaria Ejecutiva de la Comisión Económica para América Latina y el Caribe (CEPAL). Cuenta personal,aliciabarcena,aliciabarcena,https://pbs.twimg.com/profile_images/730148913731256320/IXbvcPKr_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/aliciabarcena>aliciabarcena</a><br>Bio: Comprometida con la igualdad. Actualmente Secretaria Ejecutiva de la Comisión Económica para América Latina y el Caribe (CEPAL). Cuenta personal</p>,blue,Central America Issue,1.0,4.0
74,82607949,"A country’s natural resources belong to its citizens. The EITI is the global standard for the good governance of oil, gas and mineral resources. RT≠endorsement",EITIorg,EITIorg,https://pbs.twimg.com/profile_images/1132923215762862080/FBoM8Wuc_normal.png,star,30.0,"<p><l>Username: <a href=https://twitter.com/EITIorg>EITIorg</a><br>Bio: A country’s natural resources belong to its citizens. The EITI is the global standard for the good governance of oil, gas and mineral resources. RT≠endorsement</p>",blue,,1.0,4.0
75,197095948,Cuenta oficial de la Comisión Económica para América Latina y el Caribe.  Sigue @eclac_un en inglés. #igualdadALC #Horizontes2030,cepal_onu,cepal_onu,https://pbs.twimg.com/profile_images/1377266900393152514/PKEcPQcH_normal.jpg,circle,30.0,<p><l>Username: <a href=https://twitter.com/cepal_onu>cepal_onu</a><br>Bio: Cuenta oficial de la Comisión Económica para América Latina y el Caribe.  Sigue @eclac_un en inglés. #igualdadALC #Horizontes2030</p>,blue,Central America Issue,1.0,4.0
76,847506104,Official Twitter account for the Department of Justice Canada. Français: @JusticeCanadaFr Terms: http://t.co/x5JI2wqamO,JusticeCanadaEN,JusticeCanadaEN,https://pbs.twimg.com/profile_images/876813682495426561/SOHODYBl_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/JusticeCanadaEN>JusticeCanadaEN</a><br>Bio: Official Twitter account for the Department of Justice Canada. Français: @JusticeCanadaFr Terms: http://t.co/x5JI2wqamO</p>,blue,,1.0,5.0
77,20596281,Working to end poverty for good. Transforming our world #By2030. Follow our Administrator @ASteiner & visit https://t.co/qSU0Gpllji for more,UNDP,UNDP,https://pbs.twimg.com/profile_images/1277602024092131329/bAUh3tJy_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/UNDP>UNDP</a><br>Bio: Working to end poverty for good. Transforming our world #By2030. Follow our Administrator @ASteiner & visit https://t.co/qSU0Gpllji for more</p>,blue,World Bank,1.0,5.0
78,7403862,Digital minister. #FastFairFun #TaiwanCanHelp. */*,audreyt,audreyt,https://pbs.twimg.com/profile_images/1255143161153769472/omPzEibc_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/audreyt>audreyt</a><br>Bio: Digital minister. #FastFairFun #TaiwanCanHelp. */*</p>,red,0,1.0,5.0
79,373457468,"We advance social and environmental justice by building a movement of people who know, use, and shape the law.

*Convener of the Legal Empowerment Network*",GlobalNamati,GlobalNamati,https://pbs.twimg.com/profile_images/1764126145/Namati_zoomed_in_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/GlobalNamati>GlobalNamati</a><br>Bio: We advance social and environmental justice by building a movement of people who know, use, and shape the law.

*Convener of the Legal Empowerment Network*</p>",blue,,1.0,5.0
80,321575853,"78 national & 76 local governments, plus thousands of civil society groups, working to deliver the promise of democracy beyond the ballot box through #OpenGov.",opengovpart,opengovpart,https://pbs.twimg.com/profile_images/458729616702590976/1FHE7flf_normal.png,star,30.0,"<p><l>Username: <a href=https://twitter.com/opengovpart>opengovpart</a><br>Bio: 78 national & 76 local governments, plus thousands of civil society groups, working to deliver the promise of democracy beyond the ballot box through #OpenGov.</p>",blue,Aid Transparency,1.0,5.0
81,796008597268418560,Over 100 countries have committed to beneficial ownership transparency. Find out more: https://t.co/vY5yqWYRci,OpenOwnership,OpenOwnership,https://pbs.twimg.com/profile_images/1283315861516890122/Q-EDu2Qm_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/OpenOwnership>OpenOwnership</a><br>Bio: Over 100 countries have committed to beneficial ownership transparency. Find out more: https://t.co/vY5yqWYRci</p>,blue,Aid Transparency,1.0,5.0
82,362343279,The International Institute for Democracy & Electoral Assistance is a global inter-governmental organization that supports sustainable #democracy worldwide,Int_IDEA,Int_IDEA,https://pbs.twimg.com/profile_images/956859742072311808/ItgnoJsr_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/Int_IDEA>Int_IDEA</a><br>Bio: The International Institute for Democracy & Electoral Assistance is a global inter-governmental organization that supports sustainable #democracy worldwide</p>,blue,,1.0,5.0
83,27860681,The official World Bank Twitter feed. The World Bank's mission is to end extreme poverty and promote shared prosperity.,WorldBank,WorldBank,https://pbs.twimg.com/profile_images/990966497131532288/41Ze74zF_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/WorldBank>WorldBank</a><br>Bio: The official World Bank Twitter feed. The World Bank's mission is to end extreme poverty and promote shared prosperity.</p>,blue,World Bank,1.0,5.0
84,103874436,"Advancing the rule of law worldwide. Follow us for the latest WJP rule of law data, news, and announcements. (RTs are not endorsements.)",TheWJP,TheWJP,https://pbs.twimg.com/profile_images/875411999647121408/Wpcls_c__normal.jpg,circle,30.0,"<p><l>Username: <a href=https://twitter.com/TheWJP>TheWJP</a><br>Bio: Advancing the rule of law worldwide. Follow us for the latest WJP rule of law data, news, and announcements. (RTs are not endorsements.)</p>",blue,US Aid,1.0,5.0
85,183269426,The official twitter account of the Economic Commission for Latin America and the Caribbean. Follow @cepal_onu in Spanish. #equalityLAC #Horizons2030,eclac_un,eclac_un,https://pbs.twimg.com/profile_images/1377267669339082754/HCMhrfhh_normal.jpg,circle,30.0,<p><l>Username: <a href=https://twitter.com/eclac_un>eclac_un</a><br>Bio: The official twitter account of the Economic Commission for Latin America and the Caribbean. Follow @cepal_onu in Spanish. #equalityLAC #Horizons2030</p>,blue,,1.0,5.0
86,14353202,"We lead the UK’s work internationally, promoting the UK overseas, defending our security, projecting our values, reducing poverty and tackling global challenges",FCDOGovUK,FCDOGovUK,https://pbs.twimg.com/profile_images/1328282888073322498/xs-m282H_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/FCDOGovUK>FCDOGovUK</a><br>Bio: We lead the UK’s work internationally, promoting the UK overseas, defending our security, projecting our values, reducing poverty and tackling global challenges</p>",blue,,1.0,5.0
87,2389227352,Social Justice Chair&M-Plan Convener|Advocate| @ThumaFoundation Founder|Author|Life activist on Justice-Human Rights-Rule of Law-Governance|Summited Kilimanjaro,ThuliMadonsela3,ThuliMadonsela3,https://pbs.twimg.com/profile_images/1384423114893844483/wq78eKYT_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/ThuliMadonsela3>ThuliMadonsela3</a><br>Bio: Social Justice Chair&M-Plan Convener|Advocate| @ThumaFoundation Founder|Author|Life activist on Justice-Human Rights-Rule of Law-Governance|Summited Kilimanjaro</p>,blue,,1.0,5.0
88,2189742522,"Global alliance of civil society organisations & activists working to strengthen citizen action & civil society IG: @civicusalliance
Secretary General @lysajohn",CIVICUSalliance,CIVICUSalliance,https://pbs.twimg.com/profile_images/1341327737974370304/jffaOtBb_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/CIVICUSalliance>CIVICUSalliance</a><br>Bio: Global alliance of civil society organisations & activists working to strengthen citizen action & civil society IG: @civicusalliance
Secretary General @lysajohn</p>",blue,US Aid,1.0,5.0
89,30811020,Relentless seeker/enabler of agency & activism. SecGen: @CIVICUSalliance. Advisor: @SDGbenchmarks & @OpenGovPart. #PeoplePower #WomxnLeaders ✊ (she/they),lysajohn,lysajohn,https://pbs.twimg.com/profile_images/1268591891592941571/6CagG_j-_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/lysajohn>lysajohn</a><br>Bio: Relentless seeker/enabler of agency & activism. SecGen: @CIVICUSalliance. Advisor: @SDGbenchmarks & @OpenGovPart. #PeoplePower #WomxnLeaders ✊ (she/they)</p>,blue,US Aid,1.0,5.0
90,3394193014,"CEO, Open Government Partnership @opengovpart",SPradhanOGP,SPradhanOGP,https://pbs.twimg.com/profile_images/626743154163605505/pjcge3qY_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/SPradhanOGP>SPradhanOGP</a><br>Bio: CEO, Open Government Partnership @opengovpart</p>",blue,Aid Transparency,1.0,5.0
91,268402701,Asociación Civil por la Igualdad y la Justicia || Trabajamos para defender los derechos y fortalecer la democracia.,ACIJargentina,ACIJargentina,https://pbs.twimg.com/profile_images/1289245590895960064/1vW3DOHq_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/ACIJargentina>ACIJargentina</a><br>Bio: Asociación Civil por la Igualdad y la Justicia || Trabajamos para defender los derechos y fortalecer la democracia.</p>,blue,South America Issue,1.0,5.0
