from,to,type,weight
775280798891114496,725622293402124289,sim,0.4450479223299929
775280798891114496,1278692356980703233,sim,0.8376735678931865
775280798891114496,413271829,sim,0.66998157480362
775280798891114496,11333892,sim,0.3259831863457791
775280798891114496,632036332,sim,0.461964892002261
775280798891114496,14138796,sim,0.7040552504977291
24224194,1272279554,sim,0.3745182350072665
24224194,3214215129,sim,0.8734517015092794
247206957,83567424,sim,0.596874679773987
4436094861,293245682,sim,0.4481001980792431
4436094861,105845892,sim,0.36952118250664706
4436094861,14321293,sim,0.3317035157096877
4436094861,159190687,sim,0.37404687350059734
4436094861,1278692356980703233,sim,0.43560306223883705
4436094861,413271829,sim,0.34673247552022296
4436094861,14138796,sim,0.3414739890935854
705539763349164032,846014785246367745,sim,0.907422036755029
705539763349164032,875122621,sim,0.4643803346784709
846014785246367745,875122621,sim,0.4314930779632034
120257330,1207268858593193990,sim,0.616347097092552
455851774,14321293,sim,0.36106629178233346
455851774,725622293402124289,sim,0.6364703493767403
455851774,14465315,sim,0.4916523462219216
293245682,1469421637,sim,0.4709734753081745
293245682,534255106,sim,0.3867343016865933
293245682,105845892,sim,0.7555764711693367
293245682,14321293,sim,0.5244469892851201
293245682,159190687,sim,0.7504338647191223
293245682,15376357,sim,0.5692342687221608
293245682,725622293402124289,sim,0.45028557351398535
293245682,1278692356980703233,sim,0.8704519951616927
293245682,413271829,sim,0.725817089179788
293245682,11333892,sim,0.3656893344815189
293245682,632036332,sim,0.5222599537222832
293245682,14138796,sim,0.7200831097491543
417856150,2784392406,sim,0.6106518468245405
1469421637,105845892,sim,0.4174874544796374
1469421637,159190687,sim,0.3958194319945034
1469421637,1278692356980703233,sim,0.46467401536767683
1469421637,413271829,sim,0.3983843533805166
1469421637,14138796,sim,0.47343790702599836
534255106,105845892,sim,0.4674489793701822
534255106,1278692356980703233,sim,0.47559355625413285
534255106,14138796,sim,0.4271727358158508
21283221,317144532,sim,0.4219342515721866
105845892,14321293,sim,0.44345819997296704
105845892,159190687,sim,0.6246609696544815
105845892,15376357,sim,0.5254436737103697
105845892,725622293402124289,sim,0.3735140278115761
105845892,1278692356980703233,sim,0.7263350549142701
105845892,413271829,sim,0.601612323621658
105845892,632036332,sim,0.3877118819383278
105845892,14138796,sim,0.6672655188367159
14321293,159190687,sim,0.42892065313774413
14321293,15376357,sim,0.34850730012456627
14321293,725622293402124289,sim,0.47045065048054063
14321293,1278692356980703233,sim,0.5476707865974005
14321293,413271829,sim,0.467231041140837
14321293,14465315,sim,0.48730434598125566
14321293,259798631,sim,0.4210394491731716
14321293,14138796,sim,0.43214946741974175
159190687,15376357,sim,0.46294113033403794
159190687,725622293402124289,sim,0.37940441592551105
159190687,1278692356980703233,sim,0.7072698961927405
159190687,413271829,sim,0.5718166965446854
159190687,632036332,sim,0.49431352341339674
159190687,14138796,sim,0.5687616624068093
89736834,1169284026185764864,sim,0.6013307299837738
15376357,1278692356980703233,sim,0.5633393037718766
15376357,413271829,sim,0.460023420943422
15376357,14138796,sim,0.5013279915487769
725622293402124289,1278692356980703233,sim,0.4349049270665533
725622293402124289,413271829,sim,0.3502320614577947
725622293402124289,14465315,sim,0.382682430267023
725622293402124289,14138796,sim,0.34516377165181045
1272279554,3214215129,sim,0.33623631103904467
1278692356980703233,413271829,sim,0.6947590664539637
1278692356980703233,11333892,sim,0.35677207737942956
1278692356980703233,632036332,sim,0.4855252211976568
1278692356980703233,14138796,sim,0.7039422760048454
413271829,632036332,sim,0.38320037037911936
413271829,14138796,sim,0.5898143665221943
632036332,14138796,sim,0.38094226399433445
